Common,Scientific,Rating,Tag,Human,Bee,Notes,URL,URL2
http://pfaf.org,Mitchella,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Momordica,2,,2,,,,
http://pfaf.org,Monarda,2,,2,,PFAF = 3,,
Fruit salad plant,Monstera deliciosa,1,,1,,,,
http://pfaf.org,Moraea,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Morchella,2,,2,,,,
Noni,Morinda citrifolia,2,,2,,Famine food?,,
https://fallingfruit.org/,Moringa,2,,2,,,,
Malunggay,Moringa oleifera,1,,1,,,,
Mulberry,Morus,1,,1,,,,
White mulberry,Morus alba,1,,1,,,,
Weeping mulberry,Morus alba,1,cyn,1,,,,
Black mulberry,Morus nigra,1,,1,,,,
Paper mulberry,Morus papyrifera,1,,1,,,,
Red mulberry,Morus rubra,1,,1,,,,
http://www.fruitipedia.com/,Mouriri,2,,2,,,,
http://pfaf.org,Muehlenbeckia,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Muntingia,2,,2,,,,
http://www.fruitipedia.com/,Murraya,2,,2,,,,
Banana,Musa,2,,2,,,,
Banana,Musa acuminata,1,,1,,,,
Banana,Musa balbisiana,1,,1,,,,
Banana,Musa paradisiaca,1,,1,,,,
http://pfaf.org,Muscari,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Myrcianthes,2,,2,,,,
Jaboticaba,Myrciaria,2,,2,,,,
http://www.fruitipedia.com/,Myrianthus,2,,2,,,,
Bayberry,Myrica,2,,2,,All sound rather unappealing,,
California Bayberry,Myrica californica,2,,2,,,,
Southern bayberry,Myrica cerifera,2,,2,,,,
California Bayberry,Myrica heterophylla,2,,2,,,,
Northern bayberry,Myrica pensylvanica,2,,2,,,,
Nutmeg,Myristica,1,,1,,,,
http://pfaf.org,Myrrhis,2,,2,,PFAF > 3,,
http://pfaf.org,Myrteola,2,,2,,PFAF > 3,,
Common myrtle,Myrtus communis,1,,1,,"Flower, berry, and leaves. Used to make acid drink",,
,Nageia,2,,2,,,,
https://fallingfruit.org/,Nasturtium,2,,2,,,,
https://fallingfruit.org/,Nelumbo,2,,2,,,,
https://fallingfruit.org/,Nepeta,2,,2,,,,
Rambutan,Nephelium lappaceum,1,,1,,,,
Oleander,Nerium oleander,-1,,-1,,Toxic,,
http://pfaf.org,Nigella,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Noronhia,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Nothofagus,2,,2,,,,
http://pfaf.org,Nuphar,2,,2,,PFAF = 3,,
http://pfaf.org,Nymphaea,2,,2,,PFAF > 3,,
Black tupelo,Nyssa sylvatica,2,,2,,,,
Black gum,Nyssa sylvatica,2,cyn,2,,,,
https://fallingfruit.org/,Ocimum,2,,2,,,,
https://fallingfruit.org/,Oemleria,2,,2,,,,
http://pfaf.org,Oenanthe,2,,2,,PFAF = 3,,
Bacaba palm,Oenocarpus bacaba,1,,1,,,,
Patawa palm,Oenocarpus bataua,1,,1,,,,
https://fallingfruit.org/,Oenothera,2,,2,,,,
Olive,Olea,2,,2,,,,
Olive,Olea europaea,1,,1,,,,
http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,Olneya,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Omphalea,2,,2,,,,
Snuff box tree,Oncoba spinosa,2,,2,,Only used occasionally?,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Ongokea,2,,2,,,,
Prickly pear,Opuntia,1,,1,,,,
,Opuntia basilaris,,,2,1,,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
Common prickly pear,Opuntia ficus-indica,1,,1,,,,
,Orbignya,2,syn,2,,[syn] Attalea,,
https://fallingfruit.org/,Origanum,2,,2,,,,
http://pfaf.org,Ornithogalum,2,,2,,PFAF = 3,,
http://pfaf.org,Orogenia,2,,2,,PFAF > 3,,
http://pfaf.org,Orontium,2,,2,,PFAF = 3,,
Indian trumpet flower,Oroxylum indicum,1,,1,,Edible leaves and large pods,,
http://pfaf.org,Oryzopsis,2,,2,,PFAF = 3,,
Sweet osmanthus,Osmanthus fragrans,1,,1,,Infusions,,
http://pfaf.org,Osmorhiza,2,,2,,PFAF = 3,,
Hophornbeam,Ostrya,-1,,-1,,,,
http://www.fruitipedia.com/,Osyris,2,,2,,,,
http://www.fruitipedia.com/,Otolepis,2,syn,2,,[syn] Lepisanthes,,
,Owenia,2,,2,,,,
https://fallingfruit.org/,Oxalis,2,,2,,,,
http://www.fruitipedia.com/,Oxycoccus,1,syn,1,,[syn] Vaccinium,,
Sourwood,Oxydendrum arboreum,1,,1,,Leaves edible. Juice from its blooms is used to make sourwood jelly.,,
http://pfaf.org,Oxyria,2,,2,,PFAF = 3,,
Malabar chestnut,Pachira aquatica,1,,1,,,,
http://fruitandnuttrees.com/,Pachycereus,2,,2,,,,
Mexican fencepost cactus,Pachycereus marginatus,2,,2,,Edible fruit,http://www.delange.org/CactusMFencepost/CactusMFencepost.htm,
Mexican giant cardon,Pachycereus pringlei,2,,2,,Edible fruit,http://tropical.theferns.info/viewtropical.php?id=Pachycereus+pringlei,
Whisker cactus,Pachycereus schottii,2,,2,,Edible fruit,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=605,
http://www.fruitipedia.com/,Pachylobus,2,syn,2,,[syn] Dacryodes,,
,Padus,2,syn,2,,[syn] Prunus (bird cherries),,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Palaquium,2,,2,,,,
http://pfaf.org,Panax,2,,2,,PFAF > 3,,
Halua,Pandanus tectorius,1,,1,,Fruit major food in Micronesia,,
http://pfaf.org,Panicum,2,,2,,PFAF = 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Panopsis,2,,2,,,,
https://fallingfruit.org/,Papaver,2,,2,,,,
Jacket plum,Pappea capensis,1,,1,,Delicious juicy fruit,,
Mountain coconut,Parajubaea cocoides,1,,1,,,,
Bolivian mountain coconut,Parajubaea torallyi,1,,1,,,,
http://www.fruitipedia.com/,Paramyrciaria,2,syn,2,,[syn] Myrciaria,,
Mobola plum,Parinari curatellifolia,1,,1,,"Delicious fruit, African staple",,
,Parkia,2,,2,,,,
https://fallingfruit.org/,Parkinsonia,2,,2,,,,
Mexican palo verde,Parkinsonia aculeata,2,,2,,Edible beans,http://www.eattheweeds.com/parkensonia-aculeatas-thorny-past-2/,
Blue palo verde,Parkinsonia florida,2,,2,,Edible beans,http://www.eattheweeds.com/parkensonia-aculeatas-thorny-past-2/,
Foothill palo verde,Parkinsonia microphylla,2,,2,,Edible beans,http://www.eattheweeds.com/parkensonia-aculeatas-thorny-past-2/,
Palo brea,Parkinsonia praecox,0,,0,,,,
,Parkinsonia texana,-1,,-1,,Poisonous?,,
Desert museum palo verde,Parkinsonia x 'Desert Museum',3,,3,,Few beans,,
Sonoran palo verde,Parkinsonia x sonorae,3,,3,,,,
Guajilote,Parmentiera edulis,2,,2,,More info needed,,
Persian ironwood,Parrotia,-1,,-1,,Parrotia persica,,
Passionfruit,Passiflora edulis,1,,1,,,,
Maypop,Passiflora incarnata,1,,1,,,,
http://pfaf.org,Pastinaca,2,,2,,PFAF > 3,,
Guarana,Paullinia cupana,1,,1,,,,
https://fallingfruit.org/,Pelargonium,2,,2,,,,
http://pfaf.org,Peltandra,2,,2,,PFAF = 3,,
http://pfaf.org,Peltaria,2,,2,,PFAF > 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Pentadesma,2,,2,,,,
http://fruitandnuttrees.com/,Pereskia,2,,2,,,,
http://pfaf.org,Perideridia,2,,2,,PFAF > 3,,
http://pfaf.org,Perilla,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Peritassa,2,,2,,,,
Russian sage,Perovskia atriplicifolia,2,,2,,,http://en.wikipedia.org/wiki/Perovskia_atriplicifolia,
Avocado,Persea americana,1,,1,,,,
Red bay,Persea borbonia,1,,1,,"Fruit not edible, but leaves used like Bay leaf",http://www.eattheweeds.com/persea-borbonia-palustris-humilis-and-americana-too-2/,
Silk bay,Persea humilis,1,,1,,"Fruit not edible, but leaves used like Bay leaf",http://www.eattheweeds.com/persea-borbonia-palustris-humilis-and-americana-too-2/,
Canary avocado,Persea indica,-1,,-1,,Tiny fruit,,
Swamp bay,Persea palustris,1,,1,,"Fruit not edible, but leaves used like Bay leaf",http://www.eattheweeds.com/persea-borbonia-palustris-humilis-and-americana-too-2/,
Coyo,Persea scheidana,1,,1,,,http://www.fruitipedia.com/coyo_persea_scheidana.htm,
https://fallingfruit.org/,Persicaria,2,,2,,,,
Upright snottygobble,Persoonia longifolia,2,,2,,Edible fruit?,,
http://pfaf.org,Petasites,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Petroselinum,2,,2,,,,
Boldo,Peumus boldus,1,,1,,Used for tea,,
https://fallingfruit.org/,Phaseolus,2,,2,,,,
Cork-tree,Phellodendron,-1,,-1,,,,
http://www.fruitipedia.com/,Philodendron,2,,2,,,,
Canary Island Date Palm,Phoenix canariensis,2,,2,,"""Like a chunk of wood"" (no pulp). Used for palm syrup in Canary Islands.",http://en.wikipedia.org/wiki/Phoenix_canariensis,
Date palm,Phoenix dactylifera,1,,1,,,,
Senegal date palm,Phoenix reclinata,1,,1,,,http://tropical.theferns.info/viewtropical.php?id=Phoenix+reclinata,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=643
Pygmy date palm,Phoenix roebelenii,2,,2,,Very thin flesh,,
Pygmy date palm,Phoenix roeblenii,2,mis,2,,[mis] Phoenix roebelenii,,
Cliff date palm,Phoenix rupicola,2,,2,,Thin edible flesh,http://www.floridata.com/ref/p/phoe_rup.cfm,
Silver date palm,Phoenix sylvestris,1,,1,,,,
Ceylon date palm,Phoenix zeylanica,3,,3,,,,
http://pfaf.org,Phormium,2,,2,,PFAF > 3,,
,Photinia,-1,,-1,,,,
Toyon,Photinia arbutifolia,1,syn,1,,[syn] Heteromeles arbutifolia,,
Purple chokeberry,Photinia floribunda,1,syn,1,,[syn] Aronia prunifolia,,
Frasers photinia ,Photinia fraseri,-1,,-1,,Edibility unlikely,,
Black chokeberry,Photinia melanocarpa,1,syn,1,,[syn] Aronia melanocarpa,,
Red chokeberry,Photinia pyrifolia,1,syn,1,,[syn] Aronia arbutifolia,,
Chinese photinia ,Photinia serratifolia,-1,,-1,,Toxic,,
Chinese photinia ,Photinia serrulata,-1,syn,-1,,[syn] Photinia serratifolia,,
http://pfaf.org,Phragmites,2,,2,,PFAF > 3,,
Leafflower,Phyllanthus,2,,2,,,,
Indian gooseberry,Phyllanthus emblica,1,,1,,WIdely harvested fruit in India,,
http://www.fruitipedia.com/,Phyllocalyx,2,syn,2,,[syn] Eugenia,,
Bamboo (Phyllostachys),Phyllostachys,2,,2,,,,
Golden bamboo,Phyllostachys aurea,1,,1,,,,
Big-node bamboo,Phyllostachys nidularia,1,,1,,,,
Cape gooseberry,Physalis peruviana,1,,1,,"Sweet, tart berry, looks like orange tomatillo",,
https://fallingfruit.org/,Phytolacca,2,,2,,,,
Spruce,Picea,-1,,-1,,"Spruce tips, etc",,
http://www.fruitipedia.com/,Pilosocereus,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Pimelodendron,2,,2,,,,
Allspice,Pimenta dioica,1,,1,,,,
http://pfaf.org,Pimpinella,2,,2,,PFAF = 3,,
Pine,Pinus,2,,2,,,,
Whitebark Pine,Pinus albicaulis,1,,1,,,,
Rocky Mountain bristlecone pine,Pinus aristata,2,,2,,,,
Chinese White Pine,Pinus armandii,1,,1,,,,
Jack pine,Pinus banksiana,2,,2,,,,
Turkish pine,Pinus brutia,-1,,-1,,?,,
Lacebark Pine,Pinus bungeana,1,,1,,,,
Canary island pine,Pinus canariensis,-1,,-1,,?,,
Swiss Pine,Pinus cembra,1,,1,,,,
Mexican Pinyon,Pinus cembroides,1,,1,,,,
Lodgepole pine,Pinus contorta,1,,1,,,,
Coulter Pine,Pinus coulteri,1,,1,,,,
Japanese red pine,Pinus densiflora,2,,2,,,,
Shortleaf pine,Pinus echinata,-1,,-1,,,,
Colorado Pinyon,Pinus edulis,1,,1,,,,
Turkish pine,Pinus eldarica,-1,syn,-1,,[syn] Pinus brutia,,
Slash pine,Pinus elliottii,-1,,-1,,,,
Limber pine,Pinus flexilis,1,,1,,,,
Chilgoza Pine,Pinus gerardiana,1,,1,,,,
Aleppo pine ,Pinus halepensis,2,,2,,,,
Herrera's Pine,Pinus herrerae,3,,3,,,,
Jeffrey pine,Pinus jeffreyi,1,,1,,,,
Korean Pine,Pinus koraiensis,1,,1,,,,
Single-leaf Pinyon,Pinus monophylla,1,,1,,,,
Mugo pine,Pinus mugo,-1,,-1,,,,
Austrian pine,Pinus nigra,-1,,-1,,,,
Longleaf pine,Pinus palustris,-1,,-1,,,,
Japanese white pine,Pinus parviflora,1,,1,,,,
Patula pine,Pinus patula,-1,,-1,,,,
Maritime pine,Pinus pinaster,2,,2,,,,
Stone Pine,Pinus pinea,1,,1,,,,
Italian pine,Pinus pinea,1,cyn,1,,,,
Ponderosa pine,Pinus ponderosa,1,,1,,,,
Parry Pinyon,Pinus quadrifolia,1,,1,,,,
Monterey pine ,Pinus radiata,-1,,-1,,,,
Red pine,Pinus resinosa,-1,,-1,,,,
Pitch pine,Pinus rigida,-1,,-1,,,,
Pitch pine,Pinus rigida,-1,,-1,,,,
Chir pine,Pinus roxburghii,2,,2,,,,
Gray Pine,Pinus sabiniana,1,,1,,,,
Siberian Pine,Pinus sibirica,1,,1,,,,
Eastern white pine,Pinus strobus,1,,1,,,,
Scots pine,Pinus sylvestris,2,,2,,,,
Loblolly pine,Pinus taeda,-1,,-1,,,,
Japanese black pine ,Pinus thunbergiana,-1,syn,-1,,[syn] Pinus thunbergii,,
Japanese black pine ,Pinus thunbergii,-1,,-1,,,,
Torrey Pine,Pinus torreyana,1,,1,,,,
Virginia pine,Pinus virginiana,-1,,-1,,,,
Yunnan Pine,Pinus yunnanensis,1,,1,,,,
Native mulberry,Pipturus argenteus,2,,2,,,,
Pistache,Pistacia,2,,2,,,,
Mount atlas pistache,Pistacia atlantica,2,,2,,"Seeds good for oil, but apparently taste like turpentine",,
Chinese pistache,Pistacia chinensis,-1,syn,-1,,,,
Mastic tree,Pistacia lentiscus,1,,1,,Mastic harvested as a spice,http://en.wikipedia.org/wiki/Pistacia_lentiscus,
Texas pistache,Pistacia mexicana,3,,3,,Seeds edible. Or not?,http://www.fao.org/docrep/v8929e/v8929e08.htm,http://books.google.com/books?id=3PbQaKSDJfUC&pg=PA75&lpg=PA75&dq=Pistacia+mexicana+edible&source=bl&ots=QQoA2hhGVO&sig=Ad7X5ez4RrjEC9zHYhMvg4EIUFQ&hl=en&sa=X&ei=BbrYU6G-LIOHyATOnoHABQ&ved=0CDkQ6AEwBQ#v=onepage&q=Pistacia%20mexicana%20edible&f=false
Chinese pistache,Pistacia sinensis,-1,,-1,,,,
,Pistacia terebinthus,2,,2,,,http://www.eattheweeds.com/edible-flowers-part-twenty/,
Texas pistache,Pistacia texana,2,syn,2,,[syn] Pistacia mexicana,,
Pistachio,Pistacia vera,1,,1,,,,
Red push pistache,Pistacia x 'Red Push',0,,0,,,,
http://pfaf.org,Pisum,2,,2,,PFAF > 3,,
Dragonfruit,Pitahaya,1,,1,,,,
Madras thorn,Pithecellobium dulce,1,,1,,Edible seeds,,
Pittosporum,Pittosporum,2,,2,,,,
Tarata ,Pittosporum eugenioides,-1,,-1,,,,
Weeping pittosporum,Pittosporum phillyraeoides,2,syn,2,,[syn] Pittosporum phillyreoides,,
Weeping pittosporum,Pittosporum phillyreoides ,2,,2,,"Dry fruit, very bitter, ground into a flour.",,
Kohuhu,Pittosporum tenuifolium,2,,2,,,,
Japanese pittosporum,Pittosporum tobira,-1,,-1,,,,
Sweet pittosporum,Pittosporum undulatum,-1,,-1,,,,
Cape pittosporum ,Pittosporum viridiflorum,-1,,-1,,,,
Black apple,Planchonella australis,2,syn,2,,[syn] Pouteria australis,,
Cocky apple,Planchonia careya,1,,1,,Taste like quince,,
https://fallingfruit.org/,Plantago,2,,2,,,,
http://pfaf.org,Platanthera,2,,2,,PFAF = 3,,
Plane tree,Platanus,-1,,-1,,Includes the Sycamores,,
Bacuri,Platonia insignis,1,,1,,,,
,Platycladus,-1,,-1,,Monotypic genus,,
,Platycladus orientalis,-1,,-1,,,,
http://www.fruitipedia.com/,Plectronia,2,syn,2,,[syn] Canthium,,
http://pfaf.org,Pleioblastus,2,,2,,PFAF = 3,,
Burdekin plum,Pleiogynium timorense,2,,2,,Astringent fruit?,,
https://fallingfruit.org/,Pleurotus,2,,2,,,,
http://www.fruitipedia.com/,Plinia,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Plukenetia,2,,2,,,,
http://pfaf.org,Podocarpium,2,,2,,PFAF = 3,,
Podocarpus,Podocarpus,2,,2,,"Sweet berry, but slightly toxic. Used in pies, jams, etc",,
Plum pine,Podocarpus elatus,1,,1,,,,
Musengera,Podocarpus gracilior,2,syn,2,,[syn] Afrocarpus gracilior,,
,Podocarpus henkelii,2,,2,,,,
Kusamaki,Podocarpus macrophylla,2,mis,2,,[mis] Phoenix,,
Kusamaki,Podocarpus macrophyllus,2,,2,,"Similar to yews, aril edible and apparently very tasty. Seeds toxic",,
https://fallingfruit.org/,Podophyllum,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Poga,2,,2,,,,
https://fallingfruit.org/,Polygonum,2,,2,,,,
http://pfaf.org,Polymnia,2,,2,,PFAF > 3,,
http://pfaf.org,Polypodium,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Pometia,2,,2,,,,
Trifoliate orange,Poncirus trifoliata,1,,1,,,,
https://fallingfruit.org/,Pontederia,2,,2,,,,
,Populus,-1,,-1,,"Poplar, aspen, cottonwood",,
http://www.fruitipedia.com/,Poraqueiba,2,,2,,,,
http://www.fruitipedia.com/,Porcelia,2,,2,,,,
https://fallingfruit.org/,Portulaca,2,,2,,,,
http://www.fruitipedia.com/,Posoqueria,2,,2,,,,
http://pfaf.org,Potamogeton,2,,2,,PFAF = 3,,
,Potentilla,2,,2,,,,
http://fruitandnuttrees.com/,Pothos,2,,2,,,,
Uvilla,Pourouma cecropiifolia,1,,1,,Amazon Grape Tree,,
Eggfruit,Pouteria,1,,1,,,,
Black apple,Pouteria australis,2,,2,,,,
Abiu,Pouteria caimito,1,,1,,,,
Lucuma,Pouteria lucuma,1,,1,,,,
Mamey Sapote,Pouteria sapota,1,,1,,,,
http://www.fruitipedia.com/,Pradosia,2,,2,,,,
http://pfaf.org,Primula,2,,2,,PFAF = 3,,
,Prinsepia,1,,1,,,,
Mesquite,Prosopis,1,msp,2,1,,,
Hybrid mesquite,Prosopis,1,msp,2,1,,,
Argentine mesquite,Prosopis alba,1,,2,1,,,
Hybrid mesquite,Prosopis alba x velutina,1,syn,3,1,,,
Chilean mesquite,Prosopis chilensis,1,,2,1,,,
Hybrid mesquite,Prosopis chilensis x flexuosa,1,syn,3,1,,,
Khejri,Prosopis cineraria,1,,2,1,,,
Honey mesquite,Prosopis glandulosa,1,,2,1,,http://en.wikipedia.org/wiki/Prosopis_glandulosa,
Black mesquite,Prosopis nigra,1,,2,1,,,
Screwbean mesquite,Prosopis pubescens,1,,2,1,,,
Velvet mesquite,Prosopis velutina,1,,2,1,,,
Hybrid mesquite,Prosopis x 'Phoenix',1,syn,3,1,,,
http://pfaf.org,Prumnopitys,2,,2,,PFAF = 3,,
http://pfaf.org,Prunella,2,,2,,PFAF = 3,,
Stone fruit,Prunus,1,bee,2,1,,,
Cherry,Prunus,1,msp,2,1,,,
Plum,Prunus,1,msp,2,1,,,
American plum,Prunus americana,1,,1,1,Sour but great for jelly,,
Almond,Prunus amygdalus,1,,1,1,,,
Chickasaw plum,Prunus angustifolia,1,,1,1,,,
Apricot,Prunus armeniaca,1,,1,1,,,
Wild cherry,Prunus avium,1,,1,1,Origin of eating cherries,,
Sand cherry,Prunus besseyi,1,,1,1,,,
Blireiana plum,Prunus blireana,1,syn,-1,1,[syn] Prunus blireiana,,
Blireiana plum,Prunus blireiana,1,bee,-1,1,"Hybrid with Prunus cerasifera, red purple leaves, bares little or no fruit",,
Taiwan cherry,Prunus campanulata,1,bee,2,1,Does not sound very good,,
Carolina cherry laurel,Prunus caroliniana,1,bee,2,1,,,
Cherry plum,Prunus cerasifera,1,,1,1,"Many varieties do bear fruit (eg. Thundercloud), although some do not",,
Sour cherry,Prunus cerasus,1,,1,1,Origin of eating cherries,,
Purpleleaf sand cherry,Prunus cistena,1,bee,3,1,,,
European plum,Prunus domestica,1,,1,1,,,
Almond,Prunus dulcis,1,syn,1,1,,,
Bitter cherry,Prunus emarginata,1,bee,2,1,,,
Hollyleaf cherry,Prunus ilicifolia,1,,1,1,Compared to Prunus lyonii. Can be sweet. Large seed.,,
Fuji cherry,Prunus incisa,1,,1,1,,,
Damson plum,Prunus insititia,1,,1,1,,,
Cherry laurel,Prunus laurocerasus,1,bee,1,1,,http://www.pfaf.org/user/Plant.aspx?LatinName=Prunus+laurocerasus,
Portugal laurel,Prunus lusitanica,1,bee,2,1,,,
Catalina cherry,Prunus lyonii,1,,1,1,Some comparable to sweet cherries. Large seed.,,
Amur chokecherry,Prunus maacki,1,mis,2,1,,,
Amur chokecherry,Prunus maackii,1,bee,2,1,,,
Beach plum,Prunus maritima,1,,1,1,,,
Mexican plum,Prunus mexicana,2,,2,,,,
Japanese apricot,Prunus mume,1,,1,1,,,
Wild goose plum,Prunus munsoniana,1,syn,1,1,[syn] Prunus rivularis,,
Canada plum,Prunus nigra,1,,1,1,,,
Nectarine,Prunus nucipersica,1,,1,1,,,
European bird cherry,Prunus padus,1,,1,1,,,
Weeping cherry,Prunus pendula,1,bee,-1,1,,,
Pin cherry,Prunus pennsylvanica,1,mis,2,1,[mis] Vancouver,,
Pin cherry,Prunus pensylvanica,1,bee,2,1,"Used in jams, sounds widely used",,
Peach,Prunus persica,1,,1,1,,,
Cherry plum,Prunus pissardii,1,,1,1,Prunus cerasifera cultivar. Potentially fruit producing.,,
Sand cherry,Prunus pumila,1,,1,1,,,
Wild goose plum,Prunus rivularis,1,,1,1,Eaten by natives in Texas. Good flavor.,,
Japanese plum,Prunus salicina,1,,1,1,,,
Sargents cherry,Prunus sargentii,1,bee,2,1,,,
Black cherry,Prunus serotina,1,,1,1,,,
Tibetan cherry,Prunus serrula,1,bee,-1,1,,,
Japanese cherry,Prunus serrulata,1,bee,-1,1,"Ornamental, little or no fruit. Mt Fuji, Kwanzan, Shirotae",,
Apricot plum,Prunus simonii,1,,1,1,Fragrant and fleshy,,
Blackthorn,Prunus spinosa,1,,1,1,Various uses,,
Klamath plum,Prunus subcordata,1,,1,1,,,
Higan cherry,Prunus subhirtella,1,bee,2,1,,,
Nanking cherry,Prunus tomentosa,1,,1,1,,,
Flowering almond,Prunus triloba,1,bee,-1,1,Rarely edible,,
Chokecherry,Prunus virginiana,1,,1,1,,,
Yoshino cherry,Prunus yedoensis,1,bee,-1,1,"Yoshino cherry, hybrid of Prunus serrulata. Little or no tiny fruit.",,
Chinese quince,Pseudocydonia,1,,1,,Only contains one species,,
Chinese quince,Pseudocydonia sinensis,1,,1,,,,
http://pfaf.org,Pseudosasa,2,,2,,PFAF = 3,,
Douglas-fir,Pseudotsuga,-1,,-1,,,,
Guava,Psidium,1,,1,,,,
Cattley guava,Psidium cattleianum,1,,1,,Includes Strawberry guava,,
Cattley guava,Psidium chinense,1,syn,1,,,,
Cattley guava,Psidium coriaceum,1,syn,1,,,,
Common guava,Psidium guajava,1,,1,,,,
Cattley guava,Psidium littorale,1,syn,1,,,,
http://pfaf.org,Psoralea,2,,2,,PFAF > 3,,
,Psychotria,2,,2,,,,
Hoptree,Ptelea,-1,,-1,,,,
https://fallingfruit.org/,Pteridium,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Pterocarya,2,,2,,,,
http://fruitandnuttrees.com/,Pterygota,2,,2,,,,
https://fallingfruit.org/,Pueraria,2,,2,,,,
https://fallingfruit.org/,Pulmonaria,2,,2,,,,
Pomegranate,Punica granatum,1,,1,,,,
Pomegranate,Punicia granatum,1,mis,1,,[mis] Oakland,,
https://fallingfruit.org/,Pycnanthemum,2,,2,,,,
Firethorn,Pyracantha,2,,2,,,,
http://pfaf.org,Pyronia,2,,2,,PFAF = 3,,
Pear,Pyrus,1,bee,2,1,,,
Flowering pear,Pyrus,1,msp,0,1,Ornamental pear,,
Callery pear,Pyrus calleryana,1,bee,-1,1,Ornamental pear,,
Bradford pear,Pyrus calleryana,1,cyn,-1,1,,,
European pear,Pyrus communis,1,,1,1,,,
Evergreen pear,Pyrus kawakamii,1,bee,-1,1,Ornamental pear,,
Asian pear,Pyrus pyrifolia,1,,1,1,,,
Weeping pear,Pyrus salicifolia,1,bee,2,1,Hard and astringent fruit,,
Ussurian pear,Pyrus ussuriensis,1,,1,1,,,
http://www.fruitipedia.com/,Quararibea,2,,2,,,,
Oak,Quercus,1,bee,2,1,,,
Live oak,Quercus,1,msp,2,1,,,
Red oak,Quercus,1,msp,2,1,,,
White oak,Quercus,1,msp,2,1,,,
Sawtooth oak,Quercus acutissima,1,bee,2,1,,,
Coast live oak,Quercus agrifolia,1,,1,1,,,
White oak,Quercus alba,1,,1,1,,,
Oriental white oak,Quercus aliena,1,bee,2,1,,,
Arizona white oak,Quercus arizonica,1,bee,3,1,,,
Holm oak,Quercus ballota,1,syn,1,1,[syn] Quercus ilex,,
Swamp white oak,Quercus bicolor,1,,1,1,,,
Texas red oak,Quercus buckleyi,1,bee,2,1,,,
Canby oak,Quercus canbyi,1,bee,3,1,,,
Turkey oak,Quercus cerris,1,bee,2,1,,,
Turkey oak,Quercus cerris,1,,1,1,,,
Scarlet Oak,Quercus coccinea,1,bee,2,1,,,
Durango Emory oak,Quercus durifolia,1,bee,3,1,,,
Emory oak,Quercus emoryi,1,,1,1,,,
Engelmann oak ,Quercus engelmannii,1,bee,2,1,,,
Southern Red Oak,Quercus falcata,1,bee,-1,1,,,
Hungarian oak,Quercus frainetto,1,,1,1,,,
Texas live oak,Quercus fusiformis,1,bee,3,1,,,
Lacey oak,Quercus glaucoides,1,syn,3,1,[syn] Quercus laceyi (sort of),http://en.wikipedia.org/wiki/Quercus_glaucoides,
Silverleaf oak,Quercus hypoleucoides,1,bee,3,1,,,
Holm oak,Quercus ilex,1,,1,1,,,
Shingle Oak,Quercus imbricaria,1,bee,2,1,,,
Lacey oak,Quercus laceyi,1,bee,3,1,,,
American turkey oak,Quercus laevis,1,bee,2,1,,,
Valley oak ,Quercus lobata,1,bee,2,1,,,
Overcup oak,Quercus lyrata,1,,1,1,,,
Bur oak,Quercus macrocarpa,1,bee,2,1,,,
Burr oak,Quercus macrocarpa,1,cyn,2,1,,,
Blackjack oak,Quercus marilandica,1,bee,2,1,,,
Chinkapin oak,Quercus muehlenbergii,1,,1,1,,,
Chinquapin Oak,Quercus muehlenbergii,1,cyn,1,1,,,
Water Oak,Quercus nigra,1,bee,2,1,,,
Cherrybark oak,Quercus pagoda,1,bee,2,1,,,
Pin Oak,Quercus palustris,1,,1,1,,,
Willow Oak,Quercus phellos,1,bee,2,1,,,
Mexican white oak,Quercus polymorpha,1,bee,3,1,,,
Chestnut oak,Quercus prinus,1,,1,1,,,
English oak,Quercus robur,1,,1,1,,,
Holm oak,Quercus rotundifolia,1,syn,1,1,[syn] Quercus ilex,,
Northern red oak,Quercus rubra,1,bee,2,1,,,
Shumard oak,Quercus shumardii,1,bee,2,1,,,
Bastard oak,Quercus sinuata,1,bee,3,1,,,
Post Oak,Quercus stellata,1,,1,1,,,
